16,Pidgey,40.4166817448,-3.70484262652,2016-07-19 00:26:58
11,Metapod,40.4171410929,-3.70539762714,2016-07-19 00:26:58
41,Zubat,40.4175503568,-3.70254340306,2016-07-19 00:26:58
16,Pidgey,40.4160218418,-3.70309837847,2016-07-19 00:26:58
58,Growlithe,40.4167460538,-3.70531834096,2016-07-19 00:26:58
16,Pidgey,40.4158815201,-3.7050011975,2016-07-19 00:26:58
52,Meowth,40.4172950522,-3.70555619986,2016-07-19 00:26:58
41,Zubat,40.4159847842,-3.70674551111,2016-07-19 00:27:09
19,Rattata,40.4164593422,-3.70682479952,2016-07-19 00:27:09
58,Growlithe,40.4167460538,-3.70531834096,2016-07-19 00:27:09
11,Metapod,40.4171410929,-3.70539762714,2016-07-19 00:27:09
16,Pidgey,40.4174854247,-3.7070626655,2016-07-19 00:27:09
52,Meowth,40.4172950522,-3.70555619986,2016-07-19 00:27:09
19,Rattata,40.4177062137,-3.70761769045,2016-07-19 00:27:09
46,Paras,40.4180217308,-3.70769698023,2016-07-19 00:27:09
16,Pidgey,40.4163443226,-3.7079348503,2016-07-19 00:27:09
16,Pidgey,40.4158815201,-3.7050011975,2016-07-19 00:27:09
21,Spearow,40.41445114,-3.70745911127,2016-07-19 00:27:21
41,Zubat,40.4149789554,-3.70587334679,2016-07-19 00:27:21
52,Meowth,40.4148385838,-3.70777627013,2016-07-19 00:27:21
138,Omanyte,40.4147910891,-3.70428763199,2016-07-19 00:27:32
42,Golbat,40.4144112339,-3.70373264354,2016-07-19 00:27:32
41,Zubat,40.4149789554,-3.70587334679,2016-07-19 00:27:32
106,Hitmonlee,40.4134924679,-3.70262268489,2016-07-19 00:27:32
19,Rattata,40.413143995,-3.70357407653,2016-07-19 00:27:32
23,Ekans,40.4144897385,-3.70127491069,2016-07-19 00:27:43
19,Rattata,40.4137614116,-3.70167131114,2016-07-19 00:27:43
106,Hitmonlee,40.4134924679,-3.70262268489,2016-07-19 00:27:43
23,Ekans,40.4141199888,-3.70040284063,2016-07-19 00:27:43
39,Jigglypuff,40.4142020384,-3.70032356228,2016-07-19 00:27:43
16,Pidgey,40.4153391149,-3.7020677147,2016-07-19 00:27:43
41,Zubat,40.4169775345,-3.7005613977,2016-07-19 00:28:10
16,Pidgey,40.4153391149,-3.7020677147,2016-07-19 00:28:10
41,Zubat,40.4175503568,-3.70254340306,2016-07-19 00:28:10
41,Zubat,40.4169775345,-3.7005613977,2016-07-19 00:28:21
16,Pidgey,40.4178308767,-3.69873802132,2016-07-19 00:28:21
17,Pidgeotto,40.4157219007,-3.69754889821,2016-07-19 00:28:21
19,Rattata,40.41643249,-3.69770744635,2016-07-19 00:28:21
77,Ponyta,40.4147145743,-3.69921367839,2016-07-19 00:28:39
41,Zubat,40.4148761402,-3.69913440191,2016-07-19 00:28:39
19,Rattata,40.4151475776,-3.69810381885,2016-07-19 00:28:39
23,Ekans,40.4141199888,-3.70040284063,2016-07-19 00:28:39
16,Pidgey,40.4133287615,-3.6977867206,2016-07-19 00:28:39
74,Geodude,40.4145898099,-3.69564635937,2016-07-19 00:28:51
16,Pidgey,40.4135257286,-3.69659761985,2016-07-19 00:28:51
16,Pidgey,40.4133287615,-3.6977867206,2016-07-19 00:28:51
133,Eevee,40.4153647682,-3.69628053103,2016-07-19 00:28:51
17,Pidgeotto,40.4157219007,-3.69754889821,2016-07-19 00:28:51
19,Rattata,40.4151475776,-3.69810381885,2016-07-19 00:28:51
46,Paras,40.414925573,-3.69509146568,2016-07-19 00:28:51
19,Rattata,40.4132379807,-3.69564635937,2016-07-19 00:28:51
19,Rattata,40.4145633532,-3.69398169656,2016-07-19 00:29:02
127,Pinsir,40.4158608954,-3.69318901925,2016-07-19 00:29:02
74,Geodude,40.4145898099,-3.69564635937,2016-07-19 00:29:02
46,Paras,40.414925573,-3.69509146568,2016-07-19 00:29:02
23,Ekans,40.4166774706,-3.69501219565,2016-07-19 00:29:13
127,Pinsir,40.4158608954,-3.69318901925,2016-07-19 00:29:13
111,Rhyhorn,40.4183876996,-3.69374389206,2016-07-19 00:29:13
24,Arbok,40.4183838226,-3.69635980305,2016-07-19 00:29:25
23,Ekans,40.4166774706,-3.69501219565,2016-07-19 00:29:25
17,Pidgeotto,40.4157219007,-3.69754889821,2016-07-19 00:29:25
19,Rattata,40.41643249,-3.69770744635,2016-07-19 00:29:25
56,Mankey,40.4191991718,-3.69572563039,2016-07-19 00:29:36
16,Pidgey,40.4192407651,-3.69691471065,2016-07-19 00:29:36
23,Ekans,40.4187358752,-3.6977867206,2016-07-19 00:29:36
24,Arbok,40.4183838226,-3.69635980305,2016-07-19 00:29:36
52,Meowth,40.4205255859,-3.69651834746,2016-07-19 00:29:36
52,Meowth,40.4186552203,-3.69532927651,2016-07-19 00:29:36
74,Geodude,40.4186375286,-3.69588417281,2016-07-19 00:29:36
21,Spearow,40.4187524221,-3.6947743863,2016-07-19 00:29:36
56,Mankey,40.4191991718,-3.69572563039,2016-07-19 00:29:47
52,Meowth,40.4186552203,-3.69532927651,2016-07-19 00:29:47
